SECURITY_ID,SYMBOL
524208,BSE:AARTIIND-A
524226,BSE:GAEL-B
524230,BSE:RCF-A
524280,BSE:KOPRAN-B
524330,BSE:JAYAGROGN-B
524348,BSE:AARTIDRUGS-B
524370,BSE:BODALCHEM-B
524372,BSE:ORCHPHARMA-B
524394,BSE:VIMTALABS-B
524404,BSE:MARKSANS-A
524494,BSE:IPCALAB-A
524500,BSE:KILITCH-B
524558,BSE:NEULANDLAB-A
524570,BSE:PODDARMENT-B
524598,BSE:AKSHARCHEM-B
524652,IND.SWIFT LT
524667,BSE:SOTL-B
524669,BSE:HESTERBIO-B
524689,PARENT.DRUGS
524715,BSE:SUNPHARMA-A
524735,BSE:HIKAL-B
524742,BSE:CAPLIPOINT-A
524804,BSE:AUROPHARMA-A
524816,BSE:NATCOPHARM-A
524820,BSE:PANAMAPET-B
524824,BSE:BALPHARMA-B
526093,SATVAH.ISPAT
526217,BSE:HITECHCORP-B
526227,BSE:FILATEX-B
526235,MERCATOR    
526247,BSE:PREMEXPLN-A
526263,BSE:MOLDTECH-B
526299,BSE:MPHASIS-A
526325,BSE:ORIENTLTD-B
526367,BSE:GANESHHOU-A
526371,BSE:NMDC-A
526381,BSE:PATINTLOG-B
526397,BSE:ALPHAGEO-B
526521,BSE:SANGHIIND-B
526550,BSE:CCHHL-B
526576,TECHIN      
526582,BSE:TPLPLASTEH-B
526586,BSE:WIMPLAST-X
526596,BSE:LIBERTSHOE-B
526608,BSE:ELECTHERM-B
526612,BSE:BLUEDART-A
526642,BSE:MIRZAINT-B
526650,BSE:TFCILTD-B
526662,BSE:ARENTERP-B
526666,BSE:BIL-B
526668,BSE:KAMATHOTEL-B
526707,ALCHEMIST LT
526725,BSE:SANDESH-B
526729,BSE:GOLDIAM-A
526797,BSE:GREENPLY-B
526801,PSL LTD     
526807,BSE:SEAMECLTD-B
526881,BSE:63MOONS-A
526885,BSE:SARLAPOLY-B
526921,BSE:21STCENMGM-B
526947,BSE:LAOPALA-B
526953,BSE:VENUSREM-B
526987,BSE:URJA-B
527001,BSE:ASHAPURMIN-A
530001,BSE:GUJALKALI-B
530005,BSE:INDIACEM-A
530007,BSE:JKTYRE-A
530011,MANGLR.CHEM 
530019,BSE:JUBLPHARMA-A
530047,RAISAHEB RCK
530073,BSE:SANGHVIMOV-B
530075,BSE:ANTELOPUS-B
530117,BSE:PRIVISCL-A
530191,CHROMATIC IN
530199,BSE:THEMISMED-B
530239,BSE:SUVEN-B
530299,BSE:KOTHARIPRO-B
530343,BSE:GENUSPOWER-A
530363,BSE:UGARSUGAR-B
530365,BSE:ORIENTBELL-B
530367,BSE:NRBBEARING-B
530377,BSE:NILAINFRA-B
530381,PETRON ENGG.
530393,BSE:DBSTOCKBRO-B
530517,BSE:RELAXO-A
530549,BSE:SHILPAMED-A
530655,BSE:GOODLUCK-B
530699,BSE:RAJRILTD-T
530715,ALPS INDS.  
530721,ANGIND      
530759,BSE:STERTOOLS-B
530773,IVRCL LTD   
530803,BSE:BHAGERIA-B
530813,BSE:KRBL-A
530843,BSE:CUPID-B
530919,BSE:REMSONSIND-B
530943,BSE:AQYLON-B
530961,BSE:VIKASECO-B
530965,BSE:IOC-A
530999,BSE:BALAMINES-B
531082,BSE:ALANKIT-B
531092,BSE:OMINFRAL-B
531102,SURANA CORPO
531120,BSE:PATELENG-A
531147,BSE:ALICON-B
531162,BSE:EMAMILTD-A
531179,BSE:ARMANFIN-B
531209,BSE:NUCLEUS-B
531213,BSE:MANAPPURAM-A
531241,BSE:LINC-B
531266,BSE:VSTTILLERS-B
531335,BSE:ZYDUSWELL-A
531339,JAIHIND PROJ
531344,BSE:CONCOR-A
531349,BSE:PANACEABIO-B
531373,BSE:BYKE-B
531400,BSE:ALMONDZ-B
531404,ZICOM ELECTR
531426,BSE:TNPL-B
531431,BSE:SHAKTIPUMP-A
531453,BSE:MOHITIND-B
531495,BSE:BLUECOAST-B
531497,BSE:MADHUCON-B
531500,BSE:RAJESHEXPO-Z
531508,BSE:EVEREADY-B
531524,I.C.S.A. IND
531531,BSE:HATSUN-A
531543,BSE:JINDWORLD-B
531548,BSE:SOMANYCERA-B
531595,BSE:CGCL-A
531599,BSE:FDC-B
531624,BSE:COUNCODOS-B
531633,BSE:LINCOLN-B
531642,BSE:MARICO-A
531687,KARUTURI GLO
531717,BSE:VIDHIING-B
531723,BSE:GATECH-B
531746,BSE:PRAENG-B
531768,BSE:POLYMED-A
531795,BSE:ATULAUTO-B
531816,PANORAM UNI 
531845,BSE:ZENITHSTL-B
531879,PIONEER DIS.
531882,KWALITYLTD  
531934,SUPREME TEX 
531978,BSE:AMBIKCO-B
532051,BSE:SWELECTES-B
532054,BSE:KDDL-B
532097,MUKAND ENGG.
532106,REI AGRO LTD
532121,DENA BANK   
532123,BSE:BSELALGO-X
532129,HEXAWARE TEC
532133,IFGL REFRACT
532134,BSE:BANKBARODA-A
532144,BSE:WELCORP-A
532149,BSE:BANKINDIA-A
532150,BSE:INDRAMEDCO-B
532155,BSE:GAIL-A
532162,BSE:JKPAPER-A
532163,BSE:SAREGAMA-A
